Record,Date,TIMEVALUE,Serial Time,Time Test,Temp (F),Temp (C ),dew_pt,hum,Wind Speed (mph),Wind Speed (m/s),Vh,Power Generation,KWH,Capacity Factor,wind_gust,dir,vis,pressure,wind_chill,heat_index,precip,precip_rate,precip_total,Weather Condition,fog,rain,snow,hail,thunder,tornado,Condition
4141,6/21/2016 12:51,12:51:00 PM,3675675060,1,86,30,54,33,12.7,5.68,11.33,1682415.79,1682.42,0.84,19.6,South,10,29.83,NA,84.2,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4144,6/21/2016 15:51,3:51:00 PM,3675685860,1,84,28.89,57.9,41,16.1,7.2,14.36,2000000,2000,1,23,South,10,29.78,NA,83.5,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4145,6/21/2016 16:51,4:51:00 PM,3675689460,1,84.9,29.39,55.9,37,17.3,7.73,15.43,2000000,2000,1,NA,South,10,29.77,NA,83.7,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4146,6/21/2016 17:51,5:51:00 PM,3675693060,1,80.1,26.72,64.9,60,19.6,8.76,17.48,2000000,2000,1,NA,South,10,29.76,NA,81.9,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4161,6/22/2016 8:51,8:51:00 AM,3675747060,1,78.1,25.61,52,40,4.6,2.06,4.1,79945.8,79.95,0.04,NA,South,10,29.81,NA,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
4250,6/26/2016 1:51,1:51:00 AM,3676067460,1,68,20,59,73,4.6,2.06,4.1,79945.8,79.95,0.04,NA,South,10,30.23,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4259,6/26/2016 10:51,10:51:00 AM,3676099860,1,77,25,55.9,48,11.5,5.14,10.26,1249153.17,1249.15,0.62,NA,South,10,30.23,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4261,6/26/2016 12:51,12:51:00 PM,3676107060,1,79,26.11,57.9,48,13.8,6.17,12.31,2000000,2000,1,NA,South,10,30.24,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4262,6/26/2016 13:51,1:51:00 PM,3676110660,1,79,26.11,57.9,48,15,6.71,13.38,2000000,2000,1,NA,South,10,30.23,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4264,6/26/2016 15:51,3:51:00 PM,3676117860,1,79,26.11,55.9,45,15,6.71,13.38,2000000,2000,1,NA,South,10,30.2,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4265,6/26/2016 16:51,4:51:00 PM,3676121460,1,78.1,25.61,55,45,17.3,7.73,15.43,2000000,2000,1,NA,South,10,30.19,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4267,6/26/2016 18:51,6:51:00 PM,3676128660,1,75,23.89,55.9,51,13.8,6.17,12.31,2000000,2000,1,NA,South,10,30.17,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4268,6/26/2016 19:51,7:51:00 PM,3676132260,1,73.9,23.28,55.9,53,13.8,6.17,12.31,2000000,2000,1,NA,South,10,30.16,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4269,6/26/2016 20:51,8:51:00 PM,3676135860,1,73,22.78,55.9,55,10.4,4.65,9.28,923894.09,923.89,0.46,NA,South,10,30.14,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4270,6/26/2016 21:51,9:51:00 PM,3676139460,1,72,22.22,57,59,5.8,2.59,5.17,160252.99,160.25,0.08,NA,South,10,30.14,NA,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
4271,6/26/2016 22:51,10:51:00 PM,3676143060,1,71.1,21.72,64.9,81,10.4,4.65,9.28,923894.09,923.89,0.46,NA,South,10,30.14,NA,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
4280,6/27/2016 7:51,7:51:00 AM,3676175460,1,70,21.11,66,87,10.4,4.65,9.28,923894.09,923.89,0.46,NA,South,10,30.12,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4282,6/27/2016 9:51,9:51:00 AM,3676182660,1,73.9,23.28,62.1,66,12.7,5.68,11.33,1682415.79,1682.42,0.84,NA,South,10,30.12,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4283,6/27/2016 10:51,10:51:00 AM,3676186260,1,77,25,63,62,10.4,4.65,9.28,923894.09,923.89,0.46,NA,South,10,30.1,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4284,6/27/2016 11:51,11:51:00 AM,3676189860,1,77,25,64,64,13.8,6.17,12.31,2000000,2000,1,NA,South,10,30.09,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4285,6/27/2016 12:51,12:51:00 PM,3676193460,1,78.1,25.61,64.9,64,13.8,6.17,12.31,2000000,2000,1,NA,South,10,30.08,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4287,6/27/2016 14:51,2:51:00 PM,3676200660,1,80.1,26.72,66.9,64,23,10.28,20.52,2000000,2000,1,31.1,South,10,30.04,NA,82.3,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4288,6/27/2016 15:51,3:51:00 PM,3676204260,1,79,26.11,66,64,25.3,11.31,22.57,2000000,2000,1,31.1,South,10,30.02,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4289,6/27/2016 16:51,4:51:00 PM,3676207860,1,79,26.11,66,64,25.3,11.31,22.57,2000000,2000,1,32.2,South,10,30.01,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4290,6/27/2016 17:51,5:51:00 PM,3676211460,1,77,25,69.1,76,25.3,11.31,22.57,2000000,2000,1,33.4,South,10,30,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4291,6/27/2016 18:51,6:51:00 PM,3676215060,1,75,23.89,59,57,19.6,8.76,17.48,2000000,2000,1,28.8,South,10,30,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4292,6/27/2016 19:51,7:51:00 PM,3676218660,1,73.9,23.28,60.1,62,21.9,9.79,19.53,2000000,2000,1,NA,South,10,30.01,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
4293,6/27/2016 20:51,8:51:00 PM,3676222260,1,73,22.78,63,71,19.6,8.76,17.48,2000000,2000,1,31.1,South,10,30.01,NA,NA,0,NA,NA,Light Rain,0,1,0,0,0,0,5
4294,6/27/2016 21:51,9:51:00 PM,3676225860,1,72,22.22,64.9,78,19.6,8.76,17.48,2000000,2000,1,NA,South,10,30.03,NA,NA,0,NA,NA,Light Rain,0,1,0,0,0,0,5
4295,6/27/2016 22:51,10:51:00 PM,3676229460,1,72,22.22,69.1,91,16.1,7.2,14.36,2000000,2000,1,NA,South,10,30.03,NA,NA,0.01,NA,NA,Light Rain,0,1,0,0,0,0,5
4296,6/27/2016 23:51,11:51:00 PM,3676233060,1,72,22.22,66.9,84,13.8,6.17,12.31,2000000,2000,1,NA,South,10,30.01,NA,NA,0.02,NA,NA,Light Rain,0,1,0,0,0,0,5
4297,6/28/2016 0:51,12:51:00 AM,3676236660,1,72,22.22,66.9,84,13.8,6.17,12.31,2000000,2000,1,NA,South,8,30.01,NA,NA,0.06,NA,NA,Light Rain,0,1,0,0,0,0,5
4299,6/28/2016 2:51,2:51:00 AM,3676243860,1,72,22.22,66.9,84,8.1,3.62,7.22,436492.95,436.49,0.22,NA,South,10,29.99,NA,NA,0.06,NA,NA,Overcast,0,0,0,0,0,0,5
4300,6/28/2016 3:51,3:51:00 AM,3676247460,1,72,22.22,66.9,84,11.5,5.14,10.26,1249153.17,1249.15,0.62,NA,South,10,29.98,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
4302,6/28/2016 5:51,5:51:00 AM,3676254660,1,71.1,21.72,66.9,87,8.1,3.62,7.22,436492.95,436.49,0.22,NA,South,10,29.99,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
4303,6/28/2016 6:51,6:51:00 AM,3676258260,1,71.1,21.72,66,84,12.7,5.68,11.33,1682415.79,1682.42,0.84,NA,South,10,29.99,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
4309,6/28/2016 12:51,12:51:00 PM,3676279860,1,73,22.78,69.1,87,13.8,6.17,12.31,2000000,2000,1,NA,South,10,29.97,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
4310,6/28/2016 13:51,1:51:00 PM,3676283460,1,73.9,23.28,68,82,12.7,5.68,11.33,1682415.79,1682.42,0.84,NA,South,10,29.96,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
4314,6/28/2016 17:51,5:51:00 PM,3676297860,1,73,22.78,69.1,87,11.5,5.14,10.26,1249153.17,1249.15,0.62,NA,South,1,29.9,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
4319,6/28/2016 22:51,10:51:00 PM,3676315860,1,72,22.22,69.1,91,9.2,4.11,8.21,639566.42,639.57,0.32,NA,South,0.2,29.89,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
4322,6/29/2016 1:51,1:51:00 AM,3676326660,1,72,22.22,69.1,91,5.8,2.59,5.17,160252.99,160.25,0.08,NA,South,7,29.86,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
4357,6/30/2016 12:51,12:51:00 PM,3676452660,1,82,27.78,55.9,41,13.8,6.17,12.31,2000000,2000,1,NA,South,10,30.03,NA,81.6,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4358,6/30/2016 13:51,1:51:00 PM,3676456260,1,82.9,28.28,55,38,13.8,6.17,12.31,2000000,2000,1,NA,South,10,30.02,NA,82,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4359,6/30/2016 14:51,2:51:00 PM,3676459860,1,84,28.89,55.9,38,15,6.71,13.38,2000000,2000,1,NA,South,10,30.01,NA,83,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4360,6/30/2016 15:51,3:51:00 PM,3676463460,1,82.9,28.28,57,41,13.8,6.17,12.31,2000000,2000,1,NA,South,10,30,NA,82.4,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4361,6/30/2016 16:51,4:51:00 PM,3676467060,1,80.1,26.72,60.1,50,20.7,9.25,18.46,2000000,2000,1,NA,South,10,30,NA,80.9,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4362,6/30/2016 17:51,5:51:00 PM,3676470660,1,78.1,25.61,62.1,58,23,10.28,20.52,2000000,2000,1,31.1,South,10,30.01,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4363,6/30/2016 18:51,6:51:00 PM,3676474260,1,77,25,63,62,19.6,8.76,17.48,2000000,2000,1,NA,South,10,30.01,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4364,6/30/2016 19:51,7:51:00 PM,3676477860,1,75,23.89,66.9,76,17.3,7.73,15.43,2000000,2000,1,NA,South,10,30.02,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4365,6/30/2016 20:51,8:51:00 PM,3676481460,1,75,23.89,66,73,13.8,6.17,12.31,2000000,2000,1,NA,South,10,30.02,NA,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
4366,6/30/2016 21:51,9:51:00 PM,3676485060,1,73.9,23.28,68,82,15,6.71,13.38,2000000,2000,1,NA,South,10,30.04,NA,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
4367,6/30/2016 22:51,10:51:00 PM,3676488660,1,73.9,23.28,69.1,85,11.5,5.14,10.26,1249153.17,1249.15,0.62,NA,South,10,30.03,NA,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
4368,6/30/2016 23:51,11:51:00 PM,3676492260,1,73,22.78,69.1,87,10.4,4.65,9.28,923894.09,923.89,0.46,NA,South,10,30.03,NA,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
4369,7/1/2016 0:51,12:51:00 AM,3676495860,1,72,22.22,64.9,78,9.2,4.11,8.21,639566.42,639.57,0.32,NA,South,10,30.04,NA,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
4370,7/1/2016 1:51,1:51:00 AM,3676499460,1,72,22.22,64.9,78,9.2,4.11,8.21,639566.42,639.57,0.32,NA,South,10,30.04,NA,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
4371,7/1/2016 2:51,2:51:00 AM,3676503060,1,71.1,21.72,66,84,6.9,3.08,6.15,269817.08,269.82,0.13,NA,South,10,30.02,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4372,7/1/2016 3:51,3:51:00 AM,3676506660,1,70,21.11,66.9,90,3.5,1.56,3.12,35214.89,35.21,0.02,NA,South,10,30.02,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4375,7/1/2016 6:51,6:51:00 AM,3676517460,1,72,22.22,66.9,84,6.9,3.08,6.15,269817.08,269.82,0.13,NA,South,10,30.03,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4376,7/1/2016 7:51,7:51:00 AM,3676521060,1,73.9,23.28,68,82,10.4,4.65,9.28,923894.09,923.89,0.46,NA,South,10,30.02,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4385,7/1/2016 16:51,4:51:00 PM,3676553460,1,73.9,23.28,71.1,91,19.6,8.76,17.48,2000000,2000,1,25.3,South,0.5,29.88,NA,NA,0.01,NA,NA,Overcast,0,0,0,0,0,0,5
4386,7/1/2016 17:51,5:51:00 PM,3676557060,1,72,22.22,68,87,17.3,7.73,15.43,2000000,2000,1,NA,South,8,29.89,NA,NA,0,NA,NA,Light Rain,0,1,0,0,0,0,5
4387,7/1/2016 18:51,6:51:00 PM,3676560660,1,73,22.78,68,84,9.2,4.11,8.21,639566.42,639.57,0.32,NA,South,9,29.89,NA,NA,0.41,NA,NA,Light Rain,0,1,0,0,0,0,5
4388,7/1/2016 19:51,7:51:00 PM,3676564260,1,73.9,23.28,71.1,91,8.1,3.62,7.22,436492.95,436.49,0.22,NA,South,5,29.87,NA,NA,0,NA,NA,Light Rain,0,1,0,0,0,0,5
4393,7/2/2016 0:51,12:51:00 AM,3676582260,1,71.1,21.72,66.9,87,6.9,3.08,6.15,269817.08,269.82,0.13,NA,South,10,29.86,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4430,7/3/2016 13:51,1:51:00 PM,3676715460,1,79,26.11,48.9,35,17.3,7.73,15.43,2000000,2000,1,NA,South,10,30.1,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4431,7/3/2016 14:51,2:51:00 PM,3676719060,1,78.1,25.61,54,43,13.8,6.17,12.31,2000000,2000,1,NA,South,10,30.1,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4433,7/3/2016 16:51,4:51:00 PM,3676726260,1,77,25,57.9,52,12.7,5.68,11.33,1682415.79,1682.42,0.84,NA,South,10,30.07,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4449,7/4/2016 8:51,8:51:00 AM,3676783860,1,73.9,23.28,61,64,5.8,2.59,5.17,160252.99,160.25,0.08,NA,South,10,30.1,NA,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
4452,7/4/2016 11:51,11:51:00 AM,3676794660,1,81,27.22,55.9,42,11.5,5.14,10.26,1249153.17,1249.15,0.62,NA,South,10,30.09,NA,80.8,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
4453,7/4/2016 12:51,12:51:00 PM,3676798260,1,82,27.78,52,35,11.5,5.14,10.26,1249153.17,1249.15,0.62,NA,South,10,30.08,NA,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
4454,7/4/2016 13:51,1:51:00 PM,3676801860,1,82,27.78,55,39,13.8,6.17,12.31,2000000,2000,1,NA,South,10,30.06,NA,81.4,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4455,7/4/2016 14:51,2:51:00 PM,3676805460,1,82,27.78,55.9,41,17.3,7.73,15.43,2000000,2000,1,NA,South,10,30.05,NA,81.6,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4456,7/4/2016 15:51,3:51:00 PM,3676809060,1,79,26.11,57.9,48,16.1,7.2,14.36,2000000,2000,1,NA,South,10,30.04,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4457,7/4/2016 16:51,4:51:00 PM,3676812660,1,78.1,25.61,64.9,64,19.6,8.76,17.48,2000000,2000,1,NA,South,10,30.02,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4458,7/4/2016 17:51,5:51:00 PM,3676816260,1,75,23.89,66.9,76,21.9,9.79,19.53,2000000,2000,1,29.9,South,10,30,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
4459,7/4/2016 18:51,6:51:00 PM,3676819860,1,73.9,23.28,66,76,21.9,9.79,19.53,2000000,2000,1,27.6,South,10,29.98,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
4460,7/4/2016 19:51,7:51:00 PM,3676823460,1,73,22.78,64.9,76,19.6,8.76,17.48,2000000,2000,1,NA,South,10,29.99,NA,NA,NA,NA,NA,Overcast,0,0,0,0,0,0,5
4461,7/4/2016 20:51,8:51:00 PM,3676827060,1,72,22.22,66,81,17.3,7.73,15.43,2000000,2000,1,NA,South,10,29.99,NA,NA,0,NA,NA,Overcast,0,0,0,0,0,0,5
4462,7/4/2016 21:51,9:51:00 PM,3676830660,1,72,22.22,64,76,12.7,5.68,11.33,1682415.79,1682.42,0.84,NA,South,10,29.98,NA,NA,0,NA,NA,Overcast,0,0,0,0,0,0,5
4463,7/4/2016 22:51,10:51:00 PM,3676834260,1,72,22.22,66,81,13.8,6.17,12.31,2000000,2000,1,NA,South,10,29.96,NA,NA,0,NA,NA,Light Rain,0,1,0,0,0,0,5
4464,7/4/2016 23:51,11:51:00 PM,3676837860,1,71.1,21.72,68,90,10.4,4.65,9.28,923894.09,923.89,0.46,NA,South,5,29.93,NA,NA,0.09,NA,NA,Heavy Rain,0,1,0,0,0,0,5
4465,7/5/2016 0:51,12:51:00 AM,3676841460,1,72,22.22,69.1,91,10.4,4.65,9.28,923894.09,923.89,0.46,NA,South,2.5,29.88,NA,NA,0.34,NA,NA,Heavy Rain,0,1,0,0,0,0,5
4466,7/5/2016 1:51,1:51:00 AM,3676845060,1,72,22.22,69.1,91,16.1,7.2,14.36,2000000,2000,1,NA,South,1,29.86,NA,NA,0.14,NA,NA,Light Rain,0,1,0,0,0,0,5
4498,7/6/2016 9:51,9:51:00 AM,3676960260,1,84.9,29.39,68,57,8.1,3.62,7.22,436492.95,436.49,0.22,NA,South,10,29.88,NA,88.2,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
4499,7/6/2016 10:51,10:51:00 AM,3676963860,1,86,30,63,46,10.4,4.65,9.28,923894.09,923.89,0.46,NA,South,10,29.89,NA,86.8,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
4500,7/6/2016 11:51,11:51:00 AM,3676967460,1,87.1,30.61,64,46,12.7,5.68,11.33,1682415.79,1682.42,0.84,NA,South,10,29.89,NA,88.3,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
4501,7/6/2016 12:51,12:51:00 PM,3676971060,1,87.1,30.61,68,53,10.4,4.65,9.28,923894.09,923.89,0.46,NA,South,10,29.89,NA,90.6,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
4502,7/6/2016 13:51,1:51:00 PM,3676974660,1,87.1,30.61,66,49,10.4,4.65,9.28,923894.09,923.89,0.46,NA,South,10,29.88,NA,89.2,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
4503,7/6/2016 14:51,2:51:00 PM,3676978260,1,87.1,30.61,66,49,15,6.71,13.38,2000000,2000,1,NA,South,10,29.86,NA,89.2,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4504,7/6/2016 15:51,3:51:00 PM,3676981860,1,87.1,30.61,68,53,13.8,6.17,12.31,2000000,2000,1,NA,South,10,29.85,NA,90.6,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4505,7/6/2016 16:51,4:51:00 PM,3676985460,1,84,28.89,68,58,16.1,7.2,14.36,2000000,2000,1,NA,South,10,29.83,NA,87,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4506,7/6/2016 17:51,5:51:00 PM,3676989060,1,82.9,28.28,70,65,16.1,7.2,14.36,2000000,2000,1,NA,South,10,29.82,NA,87,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4507,7/6/2016 18:51,6:51:00 PM,3676992660,1,81,27.22,72,74,16.1,7.2,14.36,2000000,2000,1,NA,South,10,29.82,NA,85.2,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
4508,7/6/2016 19:51,7:51:00 PM,3676996260,1,80.1,26.72,73,79,17.3,7.73,15.43,2000000,2000,1,NA,South,10,29.82,NA,84.2,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
4509,7/6/2016 20:51,8:51:00 PM,3676999860,1,78.1,25.61,73,84,17.3,7.73,15.43,2000000,2000,1,NA,South,10,29.83,NA,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
4510,7/6/2016 21:51,9:51:00 PM,3677003460,1,78.1,25.61,72,81,13.8,6.17,12.31,2000000,2000,1,NA,South,10,29.83,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4511,7/6/2016 22:51,10:51:00 PM,3677007060,1,75.9,24.39,72,87,9.2,4.11,8.21,639566.42,639.57,0.32,NA,South,10,29.84,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4514,7/7/2016 1:51,1:51:00 AM,3677017860,1,75,23.89,71.1,87,5.8,2.59,5.17,160252.99,160.25,0.08,NA,South,10,29.83,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4518,7/7/2016 5:51,5:51:00 AM,3677032260,1,75,23.89,72,90,4.6,2.06,4.1,79945.8,79.95,0.04,NA,South,10,29.79,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4519,7/7/2016 6:51,6:51:00 AM,3677035860,1,77,25,73,88,3.5,1.56,3.12,35214.89,35.21,0.02,NA,South,8,29.8,NA,NA,NA,NA,NA,Partly Cloudy,0,0,0,0,0,0,3
4521,7/7/2016 8:51,8:51:00 AM,3677043060,1,81,27.22,73.9,79,8.1,3.62,7.22,436492.95,436.49,0.22,NA,South,9,29.81,NA,86.2,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4522,7/7/2016 9:51,9:51:00 AM,3677046660,1,80.1,26.72,73.9,81,10.4,4.65,9.28,923894.09,923.89,0.46,25.3,South,9,29.81,NA,84.5,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4523,7/7/2016 10:51,10:51:00 AM,3677050260,1,82.9,28.28,73,72,9.2,4.11,8.21,639566.42,639.57,0.32,NA,South,10,29.81,NA,88.8,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4524,7/7/2016 11:51,11:51:00 AM,3677053860,1,84.9,29.39,73,67,10.4,4.65,9.28,923894.09,923.89,0.46,NA,South,9,29.8,NA,91.4,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4526,7/7/2016 13:51,1:51:00 PM,3677061060,1,87.1,30.61,71.1,59,16.1,7.2,14.36,2000000,2000,1,NA,South,10,29.76,NA,92.8,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4527,7/7/2016 14:51,2:51:00 PM,3677064660,1,82.9,28.28,73.9,74,18.4,8.23,16.41,2000000,2000,1,NA,South,10,29.75,NA,89.4,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4531,7/7/2016 18:51,6:51:00 PM,3677079060,1,80.1,26.72,72,76,9.2,4.11,8.21,639566.42,639.57,0.32,NA,South,10,29.76,NA,83.8,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4533,7/7/2016 20:51,8:51:00 PM,3677086260,1,77,25,73.9,90,4.6,2.06,4.1,79945.8,79.95,0.04,NA,South,10,29.75,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4627,7/11/2016 18:51,6:51:00 PM,3677424660,1,73,22.78,61,66,10.4,4.65,9.28,923894.09,923.89,0.46,NA,South,10,30.08,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4629,7/11/2016 20:51,8:51:00 PM,3677431860,1,72,22.22,64.9,78,8.1,3.62,7.22,436492.95,436.49,0.22,NA,South,10,30.11,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4630,7/11/2016 21:51,9:51:00 PM,3677435460,1,70,21.11,64,81,6.9,3.08,6.15,269817.08,269.82,0.13,NA,South,10,30.12,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4631,7/11/2016 22:51,10:51:00 PM,3677439060,1,69.1,20.61,64.9,87,6.9,3.08,6.15,269817.08,269.82,0.13,NA,South,10,30.12,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4632,7/11/2016 23:51,11:51:00 PM,3677442660,1,69.1,20.61,64,84,6.9,3.08,6.15,269817.08,269.82,0.13,NA,South,10,30.12,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4633,7/12/2016 0:51,12:51:00 AM,3677446260,1,69.1,20.61,64,84,6.9,3.08,6.15,269817.08,269.82,0.13,NA,South,10,30.11,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4642,7/12/2016 9:51,9:51:00 AM,3677478660,1,75,23.89,62.1,64,8.1,3.62,7.22,436492.95,436.49,0.22,NA,South,10,30.16,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4644,7/12/2016 11:51,11:51:00 AM,3677485860,1,78.1,25.61,64,62,10.4,4.65,9.28,923894.09,923.89,0.46,NA,South,10,30.14,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4645,7/12/2016 12:51,12:51:00 PM,3677489460,1,79,26.11,60.1,52,12.7,5.68,11.33,1682415.79,1682.42,0.84,NA,South,10,30.13,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4646,7/12/2016 13:51,1:51:00 PM,3677493060,1,78.1,25.61,59,52,13.8,6.17,12.31,2000000,2000,1,NA,South,10,30.12,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4647,7/12/2016 14:51,2:51:00 PM,3677496660,1,79,26.11,60.1,52,15,6.71,13.38,2000000,2000,1,NA,South,10,30.11,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0,2
4648,7/12/2016 15:51,3:51:00 PM,3677500260,1,78.1,25.61,62.1,58,18.4,8.23,16.41,2000000,2000,1,NA,South,10,30.1,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
4649,7/12/2016 16:51,4:51:00 PM,3677503860,1,77,25,63,62,17.3,7.73,15.43,2000000,2000,1,25.3,South,10,30.08,NA,NA,NA,NA,NA,Mostly Cloudy,0,0,0,0,0,0,4
